government-debt	O
crisis	O
countermeasures	O
*	O
2000s	O
European	O
sovereign	O
debt	O
crisis	O
timeline	O
*	O
2010â€“12	O
Greek	O
protests	O
*	O
International	O
Financial	O
Control	O
*	O
1980s	O
austerity	B-Drug
policy	O
in	O
Romania	O
References	O
reflist	O
3	O
External	O
links	O
	
Keytruda	B-Drug
first	O
gained	O
approval	O
in	O
a	O
bladder	O
cancer	O
advanced	O
urothelial	B-Drug
carcinomain	O
2017	O
	
remdesivir	B-Drug
is	O
also	O
authorized	O
to	O
treat	O
pediatric	O
patients	O
weighing	O
about	O
7	O
pounds	O
to	O
about	O
88	O
pounds	O
with	O
suspected	O
or	O
laboratory-confirmed	O
	
ventures-founded	O
biotech	O
plans	O
to	O
start	O
testing	O
atr	B-Drug
inhibitor	I-Drug
rp-3500	O
in	O
the	O
clinic	O
next	O
year	O
while	O
putting	O
a	O
second	O
asset	O
through	O
the	O
final	O
	
Proteon	O
is	O
testing	O
vonapanitase	B-Drug
in	O
peripheral	O
artery	O
disease	O
but	O
lacks	O
a	O
pipeline	O
beyond	O
the	O
asset	O
	
with	O
moleculin	B-Drug
mainly	O
focused	O
on	O
cancer	O
the	O
potential	O
of	O
wp1122	O
to	O
work	O
better	O
than	O
the	O
glucose	O
decoys	O
tested	O
by	O
utmb	O
may	O
have	O
gone	O
unexplored	O
	
demographic	O
characteristics	O
between	O
groups	O
were	O
similar	O
although	O
the	O
sng001	B-Drug
group	O
had	O
more	O
severe	O
disease	O
with	O
77%	O
of	O
patients	O
receiving	O
oxygen	O
	
treated	O
with	O
hcq	B-Drug
were	O
likely	O
to	O
have	O
been	O
critically	O
ill	O
and	O
that	O
covid-19	O
itself	O
can	O
affect	O
the	O
heart	O
she	O
said	O
	
the	O
pipeline	O
also	O
includes	O
cln-049	B-Drug
a	O
bispecific	O
antibody	O
targeting	O
flt3	O
and	O
cd3	O
for	O
the	O
treatment	O
of	O
aml	O
and	O
cln-619	O
a	O
monoclonal	O
antibody	O
	
While	O
it	O
would	O
be	O
desirable	O
to	O
augment	O
Ugandan	B-Drug
capacity	O
for	O
biomarker	O
testing	O
,	O
this	O
would	O
require	O
significant	O
investment	O
of	O
time	O
and	O
resources	O
for	O
training	O
and	O
testing	O
,	O
and	O
may	O
not	O
be	O
feasible	O
in	O
the	O
context	O
of	O
this	O
early	O
study	O
.	O
	
Storm’s	O
candidate,	O
STM2457,	B-Drug
decreased	O
AML	O
engraftment	O
and	O
increased	O
survival.	O
	
Vertex	O
has	O
another	O
drug	O
in	O
its	O
arsenal	O
called	O
VX-864	B-Drug
that	O
it	O
'	O
s	O
said	O
is	O
structurally	O
distinct	O
from	O
its	O
failed	O
predecessor	O
	
patient	O
does	O
not	O
respond	O
in	O
the	O
field	O
to	O
high-quality	O
chest	O
compressions	B-Drug
and	O
other	O
medical	O
interventions	O
chances	O
are	O
that	O
nothing	O
we	O
do	O
in	O
	
late-phase	O
studies	O
to	O
explain	O
its	O
continued	O
confidence	O
that	O
gantenerumab	B-Drug
may	O
succeed	O
	
sketched	O
out	O
a	O
series	O
of	O
upcoming	O
milestones	O
in	O
the	O
development	O
of	O
sy-1365	B-Drug
and	O
talked	O
up	O
opportunities	O
for	O
accelerated	O
development	O
of	O
the	O
asset	O
	
ALE.F02	B-Drug
binds	O
to	O
CLDN1	O
outside	O
of	O
tight	O
junctions,	O
and	O
blocks	O
the	O
interaction	O
with	O
other	O
receptors	O
in	O
the	O
cell	O
membrane,	O
changing	O
the	O
pro-fibrogenic	O
and	O
pro-carcinogenic	O
signaling.	O
	
Evkeeza	B-Drug
is	O
not	O
indicated	O
for	O
individuals	O
with	O
heterozygous	O
familial	O
hypercholesterolemia	O
,	O
and	O
the	O
effect	O
of	O
Evkeeza	B-Drug
on	O
cardiovascular	O
morbidity	O
and	O
mortality	O
has	O
not	O
been	O
determined	O
.	O
	
in	O
phase	O
2	O
35%	O
of	O
bcg-unresponsive	O
patients	O
who	O
received	O
nadofaragene	B-Drug
firadenovec	I-Drug
every	O
three	O
months	O
were	O
free	O
of	O
high-grade	O
disease	O
at	O
one	O
	
Lu-PNT2002	B-Drug
68Ga-PSMA-11	O
[	O
185	O
±74	O
MBq	O
or	O
5	O
±2	O
mCi	O
]	O
intravenous	O
during	O
screening	O
,	O
12	O
weeks	O
,	O
24	O
weeks	O
.	O
	
hmr59	B-Drug
has	O
completed	O
a	O
small	O
study	O
which	O
tested	O
it	O
in	O
patients	O
with	O
an	O
advanced	O
form	O
of	O
a	O
disease	O
called	O
age-related	O
macular	O
degeneration	O
or	O
	
Lutingnuo®	B-Drug
(	I-Drug
Glutathione	I-Drug
for	I-Drug
Injection	O
)	O
	
brca	O
mutated	O
triple	O
negative	O
or	O
hormone	O
receptor-positive	O
/	O
human	B-Drug
epidermal	I-Drug
growth	I-Drug
factor	I-Drug
receptor	O
2-negative	O
advanced	O
or	O
metastatic	O
breast	O
cancer	O
	
This	O
is	O
a	O
multi-centre	O
,	O
blinded	O
review	O
,	O
dose	O
ranging	O
,	O
non-randomized	O
study	O
of	O
64Cu-SAR-bisPSMA	B-Drug
administered	O
to	O
participants	O
with	O
confirmed	O
Prostate	O
Cancer	O
.	O
	
in	O
2013	O
another	O
trial—comparing	O
tivozanib	B-Drug
to	O
roche	O
'	O
s	O
antibody-based	O
vegf	O
blocker	O
avastin	O
bevacizumab	O
on	O
top	O
of	O
standard	O
chemotherapy	O
in	O
colorectal	O
	
Poor	O
long-term	O
effects	O
of	O
existing	O
treatment	O
for	O
CTTH	O
(	O
Sarotex	B-Drug
,	O
SSRIs	O
,	O
physiotherapy	O
)	O
are	O
reported	O
.	O
	
These	O
adverse	O
events	O
occurred	O
at	O
rates	O
that	O
were	O
similar	O
to	O
those	O
observed	O
in	O
the	O
previously	O
reported	O
controlled	O
trials	O
with	O
AXS-05	B-Drug
	
In	O
addition	O
ACR70	B-Drug
responses	O
were	O
seen	O
in	O
1	O
	
first	O
round	O
of	O
phase	O
iii	O
data	O
for	O
their	O
uterine	O
fibroid	O
drug	O
relugolix	B-Drug
setting	O
up	O
a	O
head-to-head	O
rivalry	O
with	O
pharma	O
giantabbvieas	O
the	O
little	O
	
Eisai	O
discovered	O
manogepix	B-Drug
by	O
searching	O
for	O
small	O
molecules	O
that	O
disrupt	O
the	O
assembly	O
of	O
mannoproteins	O
into	O
fungi	O
cell	O
wall	O
glucan	O
.	O
	
Amgen	B-Drug
and	O
Cytokinetics	B-Drug
who	O
are	O
joined	O
by	O
Servier	O
in	O
developing	O
omecamtiv	B-Drug
mecarbil	O
did	O
not	O
disclose	O
detailed	O
data	O
from	O
the	O
study	O
Thursday	O
	
They	O
had	O
four	O
successive	O
mouthwashes	B-Drug
and	O
gargles	O
of	O
25	O
mL	O
of	O
""""	O
1%	O
aqueous	O
[	O
povidone	O
iodine	O
]	O
solution	O
each	O
,	O
""""	O
followed	O
by	O
a	O
2	O
.	O
5-mL	O
dose	O
of	O
nasal	O
pulverization	O
into	O
each	O
nostril	O
while	O
sniffing	O
,	O
and	O
one	O
application	O
on	O
each	O
nasal	O
mucosa	O
of	O
10%	O
povidone	B-Drug
iodide	I-Drug
ointment	O
massaged	O
into	O
each	O
nostril	O
