drug_token,drug,bert_classification,sentence,fda_approved,date_epoch,date,source,mean,company_name,url,drugs
austerity,austerity,not_drug,government-debt crisis countermeasures * 2000s European sovereign debt crisis timeline * 2010â€“12 Greek protests * International Financial Control * 1980s austerity policy in Romania References reflist 3 External links,0,1608768000,"December 24, 2020",,0.0,endpts,https://endpts.com/acordas-ron-cohen-brings-the-ax-back-out-as-new-drug-sales-only-trickle-in-while-cash-cow-is-led-to-the-slaughter/,"[('austerity', 'not_drug')]"
urothelial,urothelial,not_drug,Keytruda first gained approval in a bladder cancer advanced urothelial carcinomain 2017,0,1608681600,"December 23, 2020",,0.0,endpts,https://endpts.com/fda-ushers-mercks-star-cancer-drug-keytruda-toward-another-key-checkpoint/,"[('urothelial', 'not_drug')]"
remdesivir,remdesivir,drug,remdesivir is also authorized to treat pediatric patients weighing about 7 pounds to about 88 pounds with suspected or laboratory-confirmed,0,1605916800,"November 21, 2020",,1.0656239847346398,medpagetoday,https://www.medpagetoday.com/infectiousdisease/covid19/89803?vpass=1,"[('remdesivir', 'drug')]"
rp_3500,RP-3500,drug,ventures-founded biotech plans to start testing atr inhibitor rp-3500 in the clinic next year while putting a second asset through the final,0,1609200000,"December 29, 2020",,1.0608032122154836,fiercebiotech,https://www.fiercebiotech.com/biotech/versant-s-repare-raises-82m-to-trial-synthetic-lethality-drugs,"[('RP-3500', 'drug')]"
vonapanitase,vonapanitase,drug,Proteon is testing vonapanitase in peripheral artery disease but lacks a pipeline beyond the asset,0,1609545600,"January 02, 2021",,1.064359977778323,fiercebiotech,https://www.fiercebiotech.com/biotech/proteon-tanks-after-kidney-disease-drug-fails-again-phase-3,"[('vonapanitase', 'drug')]"
wp1122,WP1122,drug,with moleculin mainly focused on cancer the potential of wp1122 to work better than the glucose decoys tested by utmb may have gone unexplored,0,1601683200,"October 03, 2020",,0.8359371857255977,fiercebiotech,https://www.fiercebiotech.com/biotech/moleculin-advances-plan-to-strip-and-starve-covid-19?utm_source=internal&utm_medium=rss,"[('WP1122', 'drug'), ('Moleculin', 'not_drug')]"
sng001,SNG001,drug,demographic characteristics between groups were similar although the sng001 group had more severe disease with 77% of patients receiving oxygen,0,1605312000,"November 14, 2020",,0.9785342100542234,medpagetoday,https://www.medpagetoday.com/infectiousdisease/covid19/89636?vpass=1,"[('SNG001', 'drug')]"
covid_19,COVID-19,drug,treated with hcq were likely to have been critically ill and that covid-19 itself can affect the heart she said,0,1604793600,"November 08, 2020",,0.3114302330277427,medpagetoday,https://www.medpagetoday.com/meetingcoverage/acr/89532?vpass=1,"[('COVID-19', 'drug')]"
ap_003,AP-003,drug,in ex-north american territories using previously manufactured ap-003,0,1610496000,"January 13, 2021",,0.5267068394238663,biospace,https://www.biospace.com/article/releases/betterlife-provides-shareholder-update-and-2021-product-development-roadmap/,"[('AP-003', 'drug')]"
nanomechanics,Nanomechanics,not_drug,nanomechanics at rice university and the university of houston are getting ready to rev their engines for the second international nanocar,0,1603843200,"October 28, 2020",,0.0,sciencedaily,https://www.sciencedaily.com/releases/2020/10/201026135752.htm,"[('Nanomechanics', 'not_drug')]"
cln_049,CLN-049,drug,the pipeline also includes cln-049 a bispecific antibody targeting flt3 and cd3 for the treatment of aml and cln-619 a monoclonal antibody,0,1609804800,"January 05, 2021",,0.8923427742038041,endpts,https://endpts.com/news-briefing-10-years-later-teplizumab-gets-a-second-shot-at-an-fda-ok-jj-files-for-amivantamab-approval-in-europe/,"[('CLN-049', 'drug'), ('FLT3', 'not_drug')]"
ugandan,Ugandan,not_drug,"While it would be desirable to augment Ugandan capacity for biomarker testing , this would require significant investment of time and resources for training and testing , and may not be feasible in the context of this early study . ",0,1613520000,"February 17, 2021",,0.0,clinicaltrials,https://clinicaltrials.gov/show/NCT04726826,"[('Ugandan', 'not_drug')]"
stm2457,STM2457,drug,"Storm’s candidate, STM2457, decreased AML engraftment and increased survival.",0,1624665600,"June 26, 2021",,0.8491882676876379,biospace,https://www.biospace.com/article/how-a-new-class-of-cancer-drug-could-stop-future-coronaviruses,"[('STM2457', 'drug')]"
vx_864,VX-864,drug,Vertex has another drug in its arsenal called VX-864 that it ' s said is structurally distinct from its failed predecessor,0,1610409600,"January 12, 2021",,0.9495699574972154,biopharmadive,https://www.biopharmadive.com/news/biotech-10-clinical-trials-watch-2021-first-half/593069/,"[('VX-864', 'drug')]"
compressions,compressions,not_drug,patient does not respond in the field to high-quality chest compressions and other medical interventions chances are that nothing we do in,0,1611619200,"January 26, 2021",,0.0,medpagetoday,https://www.medpagetoday.com/emergencymedicine/emergencymedicine/90837,"[('compressions', 'not_drug')]"
gantenerumab,gantenerumab,drug,late-phase studies to explain its continued confidence that gantenerumab may succeed,0,1601683200,"October 03, 2020",,0.9989428858760558,fiercebiotech,https://www.fiercebiotech.com/biotech/lilly-and-roche-s-antibodies-fail-late-phase-alzheimer-s-test,"[('gantenerumab', 'drug')]"
sy_1365,SY-1365,drug,sketched out a series of upcoming milestones in the development of sy-1365 and talked up opportunities for accelerated development of the asset,0,1609200000,"December 29, 2020",,1.1042862969110718,fiercebiotech,https://www.fiercebiotech.com/biotech/syros-cans-solid-tumor-drug-after-seeing-early-clinical-data,"[('SY-1365', 'drug')]"
